,contours
10,"[[[3091, 4367], [2959, 4347], [2864, 3996], [2991, 4028]], [[4199, 4021], [4333, 3989], [4392, 4312], [4274, 4345]], [[3799, 4236], [3938, 4236], [4011, 4516], [3885, 4538]], [[3359, 4691], [3505, 4693], [3580, 5047], [3457, 5061]], [[2631, 3813], [2436, 3804], [2442, 3589], [2651, 3601]], [[3631, 4667], [3760, 4642], [3836, 4934], [3705, 4960]], [[3953, 5039], [4076, 4998], [4131, 5297], [4012, 5334]], [[3043, 4779]], [[2896, 1799], [2759, 1780], [2781, 1430], [2972, 1460]], [[2784, 2987], [2650, 2982], [2611, 2686], [2726, 2664]], [[2174, 2290], [2210, 2299], [2318, 2234], [2404, 2269]], [[2425, 1504]]]"
11,"[[[3097, 4388], [2974, 4392], [2871, 4022], [2996, 4049]], [[3791, 4212], [3929, 4210], [4006, 4497], [3883, 4520]], [[4197, 4002], [4329, 3983], [4385, 4285], [4265, 4307]], [[2633, 3830], [2435, 3812], [2455, 3626], [2655, 3621]], [[3360, 4691], [3501, 4683], [3579, 5043], [3457, 5059]], [[3952, 5035], [4079, 5005], [4127, 5272], [4010, 5311]], [[3627, 4658], [3757, 4638], [3833, 4925], [3703, 4951]], [[2867, 1754], [2755, 1756], [2776, 1430], [2959, 1442]], [[3049, 4801]], [[2789, 3019], [2653, 3015], [2620, 2713], [2736, 2697]], [[2421, 1427]]]"
12,"[[[3788, 4203], [3927, 4197], [4005, 4474], [3878, 4496]], [[3107, 4419], [2982, 4425], [2873, 4038], [3006, 4079]], [[3357, 4681], [3499, 4679], [3574, 5023], [3457, 5057]], [[2632, 3838], [2443, 3837], [2455, 3643], [2661, 3652]], [[4192, 3974], [4322, 3964], [4375, 4269], [4261, 4291]], [[3953, 5013], [4074, 4970], [4124, 5256], [4004, 5289]], [[3622, 4653], [3755, 4633], [3830, 4916], [3703, 4946]], [[2894, 1799], [2754, 1781], [2771, 1400], [2953, 1443]], [[2805, 3073], [2667, 3064], [2623, 2742], [2743, 2732]], [[2133, 2280], [2238, 2291], [2359, 2293], [2419, 2323]], [[2408, 1420]]]"
13,"[[[3785, 4177], [3920, 4177], [4003, 4462], [3876, 4484]], [[4183, 3944], [4316, 3943], [4371, 4258], [4255, 4280]], [[3109, 4438], [2988, 4445], [2883, 4064], [3003, 4094]], [[3354, 4670], [3497, 4674], [3574, 5016], [3457, 5053]], [[2636, 3855], [2447, 3854], [2462, 3651], [2672, 3668]], [[3623, 4648], [3753, 4628], [3828, 4912], [3701, 4942]], [[3949, 4969], [4065, 4937], [4124, 5244], [4000, 5274]], [[2813, 3114], [2672, 3096], [2616, 2744], [2741, 2732]], [[2891, 1800], [2752, 1781], [2781, 1430], [2947, 1445]], [[2342, 2701], [2385, 2718], [2355, 2460], [2424, 2411]], [[2425, 1466]]]"
14,"[[[3785, 4177], [3920, 4177], [4003, 4462], [3876, 4484]], [[4183, 3944], [4316, 3943], [4371, 4258], [4255, 4280]], [[3109, 4438], [2988, 4445], [2883, 4064], [3004, 4095]], [[3357, 4686], [3496, 4674], [3574, 5016], [3457, 5053]], [[2643, 3863], [2449, 3854], [2462, 3651], [2667, 3660]], [[3624, 4648], [3755, 4628], [3830, 4916], [3703, 4946]], [[3949, 4969], [4065, 4937], [4124, 5244], [4000, 5274]], [[2817, 3114], [2672, 3096], [2616, 2744], [2743, 2732]], [[2891, 1800], [2757, 1781], [2775, 1401], [2947, 1422]], [[2423, 1465]]]"
15,"[[[3783, 4164], [3917, 4164], [3997, 4445], [3874, 4472]], [[4180, 3925], [4310, 3933], [4362, 4236], [4250, 4264]], [[3355, 4665], [3500, 4674], [3576, 5023], [3457, 5051]], [[3112, 4460], [2999, 4477], [2882, 4072], [3011, 4114]], [[3622, 4644], [3753, 4624], [3830, 4912], [3701, 4942]], [[2648, 3880], [2447, 3871], [2468, 3667], [2678, 3685]], [[3947, 4948], [4060, 4917], [4121, 5227], [3995, 5255]], [[2901, 1823], [2750, 1781], [2767, 1281], [2939, 1372]], [[2817, 3134], [2673, 3111], [2623, 2776], [2757, 2785]], [[2411, 1571]]]"
16,"[[[3780, 4140], [3907, 4124], [3992, 4426], [3867, 4453]], [[4174, 3897], [4304, 3895], [4359, 4206], [4244, 4236]], [[3352, 4659], [3496, 4664], [3577, 5019], [3457, 5047]], [[3121, 4488], [3005, 4503], [2883, 4088], [3023, 4151]], [[3944, 4931], [4058, 4900], [4119, 5205], [3990, 5233]], [[3611, 4620], [3739, 4594], [3826, 4899], [3696, 4923]], [[2648, 3897], [2438, 3879], [2463, 3676], [2675, 3694]], [[2833, 3187], [2692, 3173], [2628, 2811], [2756, 2803]], [[2896, 1799], [2752, 1781], [2771, 1400], [2961, 1441]], [[2185, 2405], [2053, 2301], [2102, 2125], [2262, 2170]]]"
17,"[[[3134, 4521], [3015, 4533], [2897, 4123], [3039, 4190]], [[4168, 3868], [4297, 3866], [4357, 4201], [4243, 4224]], [[3775, 4121], [3905, 4104], [3982, 4393], [3859, 4420]], [[3351, 4659], [3495, 4660], [3578, 5016], [3458, 5046]], [[3941, 4914], [4054, 4883], [4116, 5185], [3985, 5216]], [[2661, 3922], [2446, 3904], [2453, 3693], [2664, 3702]], [[3610, 4625], [3736, 4586], [3825, 4890], [3695, 4918]], [[2832, 3199], [2700, 3194], [2632, 2828], [2764, 2820]], [[2901, 1823], [2752, 1781], [2772, 1456], [2931, 1471]], [[2205, 2452], [2067, 2358], [2158, 2345], [2282, 2209]], [[2420, 1634]]]"
18,"[[[3134, 4544], [3018, 4553], [2903, 4156], [3045, 4216]], [[4162, 3842], [4293, 3846], [4352, 4177], [4238, 4206]], [[3354, 4659], [3491, 4650], [3576, 5006], [3455, 5041]], [[3773, 4115], [3903, 4098], [3976, 4374], [3847, 4390]], [[2680, 3955], [2462, 3937], [2459, 3710], [2657, 3711]], [[3608, 4620], [3739, 4594], [3824, 4886], [3693, 4914]], [[3933, 4884], [4045, 4854], [4112, 5169], [3982, 5203]], [[2838, 3226], [2704, 3231], [2632, 2864], [2765, 2855]], [[2923, 1869], [2753, 1804], [2772, 1456], [2913, 1448]], [[2181, 2418], [2076, 2395], [2184, 2419], [2248, 2193]]]"
19,"[[[3350, 4649], [3494, 4655], [3581, 5003], [3449, 5023]], [[3143, 4573], [3015, 4573], [2919, 4191], [3052, 4242]], [[4158, 3825], [4285, 3817], [4348, 4172], [4235, 4200]], [[2677, 3963], [2463, 3946], [2452, 3719], [2668, 3736]], [[3770, 4096], [3901, 4091], [3971, 4354], [3838, 4366]], [[3612, 4625], [3734, 4586], [3822, 4877], [3690, 4904]], [[3926, 4835], [4032, 4811], [4107, 5155], [3979, 5188]], [[2866, 3282], [2708, 3254], [2635, 2882], [2771, 2888]], [[2197, 2464], [2088, 2441], [2182, 2433], [2233, 2198]], [[2382, 3654], [2166, 3638], [2294, 3542], [2412, 3559]], [[2908, 1847], [2758, 1824], [2768, 1481], [2921, 1496]]]"
